feature,importance
CCME_Values,0.4373924566090193
Ammonia_mg_L,0.21456671000498986
Water_Quality_Score,0.14464817155892642
pH,0.055849812026642624
BOD_mg_L,0.029841961122214343
Nitrogen_mg_L,0.026193077652435264
pH_Acidic,0.02296980386151762
DO_BOD_ratio,0.019679281521196752
Nitrate_mg_L,0.013564528260805621
pH_Neutral,0.011722341488918629
Temperature_C,0.008669354701828908
Year,0.005501687492073228
DO_mg_L,0.0053959191384557355
N_Nitrate_ratio,0.0030127907761656504
Orthophosphate_mg_L,0.0009599352906159458
pH_Alkaline,3.216849419400665e-05
